model_name,total_params,use_archer,device_memory_ratio,dataset_name,dataset_size,dataset_size_after_filter_wrt_input_len,src_lang,tgt_lang,batch_size,beam_size,max_gen_length,max_input_seq_length,tokenizer_padding_setting,sacrebleu,spBleu,chrf,chrfpp,meteor,gen_len,encoder_latency_s,decoder_latency_s,encoder_throughput,decoder_throughput
facebook/nllb-200-distilled-600M,615073792,False,,flores200,997,33,en,fr,32,1,64,10,pad_to_max_length,43.79620135669036,49.62919773991904,65.94667923430731,64.31366319905939,0.6830882895496059,20.636363636363637,0.0065833204425871,0.005485643518577259,75797.62,124142.22646691817
facebook/nllb-200-distilled-600M,615073792,False,,flores200,997,33,en,fr,32,2,64,10,pad_to_max_length,45.065624746560665,51.25088310669852,67.24528473237577,65.50513141722269,0.6891656344842456,20.636363636363637,0.00572365347761655,0.0056426035117287145,87182.086,120688.96894571336
facebook/nllb-200-distilled-600M,615073792,False,,flores200,997,33,en,fr,32,4,64,10,pad_to_max_length,45.7845492191046,52.34711011674917,68.13813403286228,66.47925920289053,0.7061393721569884,20.848484848484848,0.00592939206399015,0.005683018588805867,84157.03,121062.42294459303
facebook/nllb-200-distilled-600M,615073792,False,,flores200,997,33,en,fr,32,1,128,10,pad_to_max_length,43.79620135669036,49.62919773991904,65.94667923430731,64.31366319905939,0.6830882895496059,20.636363636363637,0.006757802562788099,0.005561112782315251,73840.57,122457.50565707465
facebook/nllb-200-distilled-600M,615073792,False,,flores200,997,33,en,fr,32,2,128,10,pad_to_max_length,45.065624746560665,51.25088310669852,67.24528473237577,65.50513141722269,0.6891656344842456,20.636363636363637,0.0059105320833623,0.00575382191740534,84425.56,118356.11351473558
facebook/nllb-200-distilled-600M,615073792,False,,flores200,997,33,en,fr,32,4,128,10,pad_to_max_length,45.7845492191046,52.34711011674917,68.13813403286228,66.47925920289053,0.7061393721569884,20.848484848484848,0.00605678395368155,0.005688864103932299,82386.96,120938.0268944086
facebook/nllb-200-distilled-600M,615073792,False,,flores200,997,33,en,fr,32,1,256,10,pad_to_max_length,43.79620135669036,49.62919773991904,65.94667923430731,64.31366319905939,0.6830882895496059,20.636363636363637,0.006472524022683449,0.005565994400896227,77095.12,122350.1051115586
facebook/nllb-200-distilled-600M,615073792,False,,flores200,997,33,en,fr,32,2,256,10,pad_to_max_length,45.065624746560665,51.25088310669852,67.24528473237577,65.50513141722269,0.6891656344842456,20.636363636363637,0.0059141215169802,0.00562860808370384,84374.33,120989.05979466879
facebook/nllb-200-distilled-600M,615073792,False,,flores200,997,33,en,fr,32,4,256,10,pad_to_max_length,45.7845492191046,52.34711011674917,68.13813403286228,66.47925920289053,0.7061393721569884,20.848484848484848,0.0074345464818179,0.005648742054796007,67119.09,121797.02902451716
facebook/nllb-200-distilled-600M,615073792,False,,flores200,997,33,en,fr,32,1,512,10,pad_to_max_length,43.79620135669036,49.62919773991904,65.94667923430731,64.31366319905939,0.6830882895496059,20.636363636363637,0.0062649864703416495,0.0057695509875010115,79649.016,118033.4486124308
