model_name,total_params,use_archer,device_memory_ratio,dataset_name,dataset_size,dataset_size_after_filter_wrt_input_len,src_lang,tgt_lang,batch_size,beam_size,max_gen_length,max_input_seq_length,tokenizer_padding_setting,sacrebleu,spBleu,chrf,chrfpp,meteor,gen_len,encoder_latency_s,decoder_latency_s,encoder_throughput,decoder_throughput
facebook/nllb-200-distilled-600M,615073792,False,,wmt14,3000,710,en,fr,32,1,64,10,pad_to_max_length,31.508888342601296,35.95528265765731,55.63493605653706,53.47179690535606,0.5614375509084782,15.86338028169014,0.005886609979864639,0.0058605309776054125,1477760.5,1921839.5130132071
facebook/nllb-200-distilled-600M,615073792,False,,wmt14,3000,710,en,fr,32,2,64,10,pad_to_max_length,33.101902149004324,37.72511721941725,56.89968082362926,54.7134800073602,0.5724306918316433,16.09718309859155,0.005009208137736313,0.005821048211175838,1736601.8,1963392.087709813
facebook/nllb-200-distilled-600M,615073792,False,,wmt14,3000,710,en,fr,32,4,64,10,pad_to_max_length,32.90867615700997,37.74844764280379,56.77766521473762,54.569931875037724,0.5718221847157128,16.25774647887324,0.0049723778426160785,0.005836790073052722,1749464.8,1977628.0893314448
facebook/nllb-200-distilled-600M,615073792,False,,wmt14,3000,710,en,fr,32,1,128,10,pad_to_max_length,31.508888342601296,35.95528265765731,55.63493605653706,53.47179690535606,0.5614375509084782,15.86338028169014,0.00499711224161407,0.0059641204088353205,1740805.4,1888459.5259537105
facebook/nllb-200-distilled-600M,615073792,False,,wmt14,3000,710,en,fr,32,2,128,10,pad_to_max_length,33.101902149004324,37.72511721941725,56.89968082362926,54.7134800073602,0.5724306918316433,16.09718309859155,0.005005416541319774,0.005897742796215977,1737917.2,1937860.0245729445
facebook/nllb-200-distilled-600M,615073792,False,,wmt14,3000,710,en,fr,32,4,128,10,pad_to_max_length,32.90867615700997,37.74844764280379,56.77766521473762,54.569931875037724,0.5718221847157128,16.25774647887324,0.005065536652894074,0.005920440990872946,1717290.9,1949685.8456650253
facebook/nllb-200-distilled-600M,615073792,False,,wmt14,3000,710,en,fr,32,1,256,10,pad_to_max_length,31.508888342601296,35.95528265765731,55.63493605653706,53.47179690535606,0.5614375509084782,15.86338028169014,0.004963808298191887,0.0060327107590238275,1752485.1,1866988.2329685076
facebook/nllb-200-distilled-600M,615073792,False,,wmt14,3000,710,en,fr,32,2,256,10,pad_to_max_length,33.101902149004324,37.72511721941725,56.89968082362926,54.7134800073602,0.5724306918316433,16.09718309859155,0.005048398859798856,0.005941488036464132,1723120.6,1923592.1927062515
facebook/nllb-200-distilled-600M,615073792,False,,wmt14,3000,710,en,fr,32,4,256,10,pad_to_max_length,32.90867615700997,37.74844764280379,56.77766521473762,54.569931875037724,0.5718221847157128,16.25774647887324,0.005056069809538479,0.005924404733530929,1720506.4,1948381.4018763711
facebook/nllb-200-distilled-600M,615073792,False,,wmt14,3000,710,en,fr,32,1,512,10,pad_to_max_length,31.508888342601296,35.95528265765731,55.63493605653706,53.47179690535606,0.5614375509084782,15.86338028169014,0.005016983962496291,0.005915826307175332,1733910.2,1903876.046248866
